site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob,component4_prob,component5_prob
RZUA01,0.107747082951821,-40.29598192715715,0.694443927026862,0.910487781063142,21.343718825855,2.07875915404158,0.020185023043340147,1,5.480497961521021e-146,1.0,0.0,0.0,0.0
RZUA03b,0.0595276013358209,-42.9865905230941,0.71990628321127,0.89899463287588,18.8009279798203,2.05423623600053,0.116515808158636,1,3.6581635593317427e-228,1.0,0.0,0.0,0.0
RZUA04,0.0326419305835961,-46.7148321277963,0.717077057186069,-0.0104545666327077,0.979307200980749,1.90749010829662,0.325420153279315,1,0.0,1.0,0.0,0.0,0.0
RZUA05,0.06868148025147384,-32.599133777144445,0.6785205136758525,0.933578254749991,29.11149149007185,2.0649770544526698,0.0895735971868208,1,2.853956927537256e-53,1.0,0.0,0.0,0.0
RZUA06,0.0645155575868509,-43.61157189236275,0.71661824141372,0.8977427399999655,18.55856009229965,2.07753257757795,0.03389571122126245,1,2.0472822381587797e-237,1.0,0.0,0.0,0.0
RZUA07,0.0980044130896854,-50.26916679840095,0.667678857959122,0.689304916575473,5.437186046345371,2.066013603570235,0.0910377800568888,1,0.0,1.0,0.0,0.0,0.0
RZUA08,0.0291013782010772,-44.2328370415915,0.759541035090679,0.525126881098602,3.2116513240988,2.07942320620385,0.0031931419839106,1,0.0,1.0,0.0,0.0,0.0
RZUA09,0.0549576411138236,-42.4115113479013,0.651875969722114,0.894491513461522,17.9558211440235,1.93747455590944,0.29360728707033,1,4.469190697485636e-308,1.0,0.0,0.0,0.0
RZUA10,0.0708924533032805,-35.4096575115411,0.560755144790062,0.974271743469675,76.7355433176241,2.07637830209803,0.0426963173346737,2,2.9142498530292323e-12,0.0,0.9999999999970868,0.0,0.0
RZUB01,0.06638206710842626,-39.3815078947567,0.6863696064035094,0.9648871422487104,55.96174053995995,2.078992285366695,0.0163779286260722,0,1.0,0.0,0.0,0.0,0.0
RZUB02,0.07959721443592035,-32.313812366983996,0.6629566295513796,0.9385190963528075,40.294444406092,1.986419349007055,0.21993021202672153,1,1.9178128447924912e-58,1.0,0.0,0.0,0.0
RZUB03,0.0741847902324784,-42.8992531637102,0.6617884276060355,0.9236127115002565,25.18236815736895,2.07869546326035,0.021070847456525002,1,9.14995782941899e-68,1.0,0.0,0.0,0.0
RZUB04,0.0553765502541781,-43.9481663013253,0.698494996315696,0.905907826901571,20.2557530997591,2.05846658724788,0.115098434852017,1,3.210435872289663e-166,1.0,0.0,0.0,0.0
RZUB05,0.056621917248220896,-36.472304695183794,0.6557440809517785,0.9579324870190555,46.5562904238363,2.0528655007157104,0.12746503962240352,0,1.0,1.5996895239834864e-18,0.0,0.0,0.0
RZUB06,0.152607438172057,-46.0756138179416,0.669397405768994,0.875045353752957,15.0058073874731,2.07044905556934,0.0720324710685087,1,0.0,1.0,0.0,0.0,0.0
RZUB07,0.102885168782816,-33.862950308147006,0.659038607676127,0.8329075814339605,10.981865352498051,2.035669704378325,0.154388829994075,1,0.0,1.0,0.0,0.0,0.0
RZUB08,0.103500759776601,-43.9700495827551,0.654134894838269,0.947228611934252,36.8993252462523,2.07342880869841,0.0609084810068752,1,0.00044887953564078716,0.9995511204643599,0.0,0.0,0.0
RZUB09,0.08909472461168419,-44.882416812112496,0.6247643834954205,0.926851416239775,26.3423879364716,1.992859637211235,0.2263066860223265,1,7.848180235239412e-53,1.0,0.0,0.0,0.0
RZUB11,0.101588990090308,-41.4487965321339,0.639046763532709,0.946145814799551,36.1373179736328,2.05995771936731,0.102210247775935,1,7.590808288798324e-07,0.9999992409191701,0.0,0.0,0.0
RZUC01,0.1038997315723835,-42.9083002035576,0.596061673772883,0.796719827262092,8.83864136841605,1.901545288694835,0.31521891341463204,1,0.0,1.0,0.0,0.0,0.0
RZUC03,0.074027951948705,-45.7220279725821,0.687904046112985,0.699689938161557,5.65978351759634,2.06837029321304,0.0818040462795024,1,0.0,1.0,0.0,0.0,0.0
RZUC05,0.0965155075272597,-40.9775231990297,0.568116406445335,0.975080569296815,79.2586553369525,2.07784770640868,0.0313634129717215,2,7.339318740526586e-14,0.0,0.999999999999929,0.0,0.0
RZUC06,0.04953599347026475,-41.3110910515629,0.7146524533238066,0.9188726047980655,23.6574335813924,2.078547342970845,0.0230102151427347,1,2.1263246099971677e-89,1.0,0.0,0.0,0.0
RZUC07,0.0470812425420094,-43.0877081164533,0.70560888841878,0.784046944925767,8.26127208208518,2.07720180185258,0.0367073506402131,1,0.0,1.0,0.0,0.0,0.0
RZUC08,0.0721388777110992,-46.256690023388245,0.662602046638506,0.8124855543783975,9.666807438003381,1.96155761702501,0.2668233291314315,1,0.0,1.0,0.0,0.0,0.0
RZUC09,0.04131528355192125,-38.20485022066895,0.693613303452615,0.964265272516558,54.9763937005427,2.07778007082988,0.031867565759827396,0,1.0,0.0,0.0,0.0,0.0
RZUC10,0.00305476959695155,-61.570643779986455,0.8698430419879479,-0.248636100416161,0.60174771057835,2.079326140106775,0.00865620896812555,1,0.0,1.0,0.0,0.0,0.0
RZUC11,0.0863276076419182,-47.64930991128775,0.5777515635732244,0.911684616144559,21.646263372363947,2.07059662431028,0.07348008004127705,1,5.44830159652723e-128,1.0,0.0,0.0,0.0
RZUC12,0.0700174550560065,-39.2023582491332,0.542435993049837,0.968938330113398,63.3880386116223,2.07226100554066,0.0665763478520338,0,1.0,0.0,0.0,0.0,0.0
RZUD01,0.19812843244777,-46.0648064239352,0.587078021390546,0.956905565632322,45.4097053214851,2.07756774881044,0.0330722147278897,0,0.9999308317236772,6.916827632320448e-05,0.0,0.0,0.0
RZUD01M,0.110499803013344,-43.8338679433409,0.6135553159497745,0.940855715434769,32.817192016830745,2.0792434607718553,0.010639211074846201,1,5.877909401692924e-19,1.0,0.0,0.0,0.0
RZUD03,0.07638913994213234,-34.250347090584796,0.709583244642115,0.9239440131067624,25.29711527686525,2.04254179394617,0.140486145697483,1,2.432866933243969e-84,1.0,0.0,0.0,0.0
RZUD04,0.06366683888561275,-44.80729269656405,0.668864539431882,0.8909923477727195,17.347645899667697,2.0773120795174798,0.03643996162436955,1,1.541081071e-314,1.0,0.0,0.0,0.0
RZUD05,0.09847794668271509,-36.925883001092004,0.6955396808367535,0.9613620593818875,50.771974565444,1.94141329156844,0.274127010611652,0,0.7517650874623616,0.2482349125376381,0.0,0.0,0.0
RZUD06,0.0765953416573992,-42.7408962616156,0.720903628173849,0.947458040876076,37.0648158794924,2.07540545655207,0.0497989188456787,0,1.0,3.244548149003997e-30,0.0,0.0,0.0
RZUD07,0.0590980753112775,-39.8157181355423,0.710115345967906,0.837833489302989,11.3330026119681,2.07274331749626,0.0635105965318414,1,0.0,1.0,0.0,0.0,0.0
RZUD08,0.06927749182505165,-30.38035499984735,0.6691584532606181,0.957665939706061,46.2435282398301,2.0187592739111446,0.1780275507308955,1,3.3192341009136846e-13,0.9999999999996696,0.0,0.0,0.0
RZUD09,0.038807586236140446,-39.094684887648754,0.696704971597017,0.9287902443583955,27.086188094335448,2.0772743323458753,0.0358463765864827,1,3.640928537698846e-53,1.0,0.0,0.0,0.0
RZUD10,0.124102943883655,-42.5227817609356,0.6246295851351455,0.965625367324094,57.1897476265997,1.92168134430931,0.305509967338697,0,0.9671753706352341,0.03282462936476671,0.0,0.0,0.0
RZUD11,0.112263809937991,-39.6298851529817,0.649465808210202,0.93481271452786,29.6808296359383,2.07186136673275,0.067272779150088,1,2.476552081536441e-31,1.0,0.0,0.0,0.0
RZUD12,0.0789370582790232,-39.0725299191971,0.606105116211286,0.966013880886871,57.8475545955286,2.07530695876634,0.0506900250973397,0,1.0,0.0,0.0,0.0,0.0
RZUD13,0.0837764401471657,-44.9825745358052,0.676078943772015,0.660614583405296,4.89300512693629,2.04688743961819,0.142381589515396,1,0.0,1.0,0.0,0.0,0.0
RZUE02,0.00286214484527385,-54.0543844877477,0.765935698981155,0.011083781238995751,1.0224161195755301,2.079441220867755,0.00040806277108355,1,0.0,1.0,0.0,0.0,0.0
RZUE03,0.0865349229848358,-40.5913932888043,0.622729852612222,0.878118224081523,15.4093440953613,1.97179545097527,0.252403090695902,1,0.0,1.0,0.0,0.0,0.0
RZUE04,0.08042087305895071,-37.800909459578904,0.6349764578412416,0.9711379631584696,68.29524728426534,2.07808294879016,0.029132944274531752,0,1.0,0.0,0.0,0.0,0.0
RZUE05,0.0743224285992148,-46.0976820659253,0.624760547280056,0.915171710929424,22.5770404179203,2.06192114952375,0.10306531894018,1,9.094380370105147e-104,1.0,0.0,0.0,0.0
