site,BGNf,Hf,NDSI,rBA,ADI,pred,component1_prob,component2_prob,component3_prob
RZUA01,0.6234898158783728,0.49634937196292506,0.8759962729504324,0.1544047016859603,0.9982857563689,2,0.0,1.6503713006971804e-97,1.0
RZUA02,0.3737086969219914,0.6522044010822201,0.6576211510773118,0.047299409715665736,0.998886186611661,1,9.563347495255099e-48,0.9963951431356894,0.0036048568643103894
RZUA03a,0.7949637384283712,0.7369462310724373,0.6244181209827364,0.041202921498714025,0.9906419379573821,1,1.1621513930743703e-37,0.9999999999999964,3.95056023418015e-15
RZUA03b,0.9999999999999998,0.7053498995242775,0.5985247904552835,0.03710502850891573,0.8686115540738966,1,2.413290710762247e-33,1.0,3.2481994054197626e-56
RZUA04,0.5356886124864031,0.7717535623638574,0.6045486598344272,0.03801348076334982,0.9987694497025155,1,1.4264957132953848e-28,0.9999999586120802,4.13879192458054e-08
RZUA05,0.4249439554337755,0.806542993751785,0.7760456126194739,0.08220596728906672,0.9982700726780402,2,0.0,4.829839799589309e-11,0.9999999999517017
RZUA06,0.47365861915349305,0.7401331925951722,0.8107242674674269,0.09968256588586613,0.9986858076572132,2,0.0,1.0784455788217525e-23,1.0
RZUA07,0.41043388572921713,0.3289751759956827,0.002817738140657444,7.303394048489235e-05,0.30617569101875564,0,1.0,2.394892831066783e-20,0.0
RZUA08,0.4725395974844562,0.7852977381338868,0.6188345062812035,0.04027531969687398,0.9999781509747274,1,1.1929376464526894e-32,0.9999966449426034,3.3550573965005155e-06
RZUA09,0.7135492044583223,0.6436654270758806,0.6148602447134032,0.039630264426031764,0.9897570650036842,1,1.841353439575997e-32,0.9999999999997247,2.758691509911056e-13
RZUA10,0.5506603984367913,0.5377476916045796,0.8882393557845742,0.17046114277666596,0.9964532205216434,2,0.0,2.389856801333107e-132,1.0
RZUB01,0.6176251128496011,0.44497141997342204,0.9432156343536235,0.3003818662306195,0.9991965851995515,2,0.0,0.0,1.0
RZUB02,0.40638438543896394,0.5637439014656951,0.47308627626954397,0.022681276845926288,0.0,0,1.0,2.1161708139258097e-50,0.0
RZUB03,0.4898716695471419,0.5738648158279236,0.8781451503869553,0.1570312471470308,0.9993440701842813,2,0.0,3.7007072920836334e-104,1.0
RZUB04,0.6627376724219816,0.6635749304550942,0.930938629545893,0.25839713749964377,0.9979675590407302,2,0.0,0.0,1.0
RZUB05,0.5213673895159072,0.4272959081099834,0.862791873923787,0.13981354678822905,0.9965809051740768,2,0.0,7.887084542817553e-72,1.0
RZUB06,0.45539908118606,0.6295461590938496,0.5171404887235171,0.026937599015959754,0.9691040929416177,1,6.474184091236783e-23,0.9999999999999973,2.637090805471451e-15
RZUB07,0.7741165372219911,0.701718056091126,0.0827684047749418,0.002327068280687697,0.9242828093145201,1,7.367801139915385e-08,0.9999999263219888,6.659807421238311e-113
RZUB08,0.6912624344337142,0.6116132017883469,0.4370415439279749,0.01967334239234739,0.8288264980557818,1,1.2227676280789926e-10,0.9999999998777236,1.5492565580393397e-72
RZUB09,0.8354628693890036,0.7132947899088036,0.49868133712950236,0.02506774421312721,0.9351747056617716,1,1.9155178277197737e-12,0.9999999999980842,6.208310462006983e-39
RZUB10,0.389310365551532,0.9871838835017426,0.6354984259409968,0.04312230275980788,0.9994431811874049,1,3.736891754023947e-41,0.9998779235562902,0.00012207644370936622
RZUB11,0.4834900879280071,0.5657774979906229,0.8298863315185422,0.1119782117949355,0.9941677136523461,2,0.0,3.5054683667670687e-35,1.0
RZUC01,0.5113507079757669,0.7353920355619321,0.1851026228021066,0.005837106832837869,0.9165059694124738,1,1.5267302197429453e-25,1.0,2.064210684269959e-73
RZUC02,0.7850225233556822,0.662481234539358,0.46565200651295563,0.022029033655772193,0.998381527420352,1,1.0674543976030567e-13,0.9999999999998934,6.864379655979961e-30
RZUC03,0.46191606977620636,0.7108823506266193,0.7381890556061976,0.06793050261622056,0.9990723457692736,2,2.187690892047663e-175,0.0004500826154359638,0.9995499173845643
RZUC05,0.5709514425606981,0.5100827139762256,0.9276821566504128,0.24901066488110063,0.9967029444837783,2,0.0,0.0,1.0
RZUC06,0.6490896166209539,0.11834316628871955,0.9832343871336007,0.6025265512650609,0.9957421290374375,2,0.0,0.0,1.0
RZUC07,0.6097822885371997,0.38281628025884307,0.8170506411471292,0.10363141000699722,0.9945040348261633,2,0.0,5.518349738416772e-25,1.0
RZUC08,0.5490948613259345,0.6657555758414158,0.1343258260674033,0.003994819391765001,0.9531039967941561,1,5.688696698761094e-20,1.0,1.8404790440983134e-77
RZUC09,0.524775058547577,0.6017491272407451,0.8953840679674525,0.18173816567257645,0.9987468896541545,2,0.0,2.1735494235742586e-160,1.0
RZUC10,0.44103391325217567,0.9692755811627503,0.35367291821219043,0.01394697944363383,0.999568918474691,1,8.340426489320631e-48,1.0,3.9995460179024084e-27
RZUC11,0.411100786100566,0.7035581228010732,0.5447557437414893,0.03000298627171412,0.9918790465232403,1,1.0717675419357044e-26,0.9999999997023377,2.9766281031787185e-10
RZUC12,0.4538569690457177,0.5568874669385007,0.8341006438877829,0.11502360704477217,0.9963251958480592,2,0.0,1.4636767332825651e-38,1.0
