,site,20_5_component1_prob,20_5_component2_prob,20_5_component3_prob,20_5_component4_prob,20_5_component5_prob,17_20_component1_prob,17_20_component2_prob,17_20_component3_prob,17_20_component4_prob,8_17_component1_prob,8_17_component2_prob,8_17_component3_prob,5_8_component1_prob,5_8_component2_prob,5_8_component3_prob,XCOORD.y_x,YCOORD.y_x
0,RZUA01,5.480497961521021e-146,1.0,0.0,0.0,0.0,7.465867857054041e-11,0.9999999999253416,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4954301.25,1950942.625
1,RZUA03b,3.6581635593317427e-228,1.0,0.0,0.0,0.0,6.495266473480807e-181,1.0,0.0,2.0531494732046385e-136,1.0,0.0,9.668182198102473e-18,1.0,0.0,0.0,4954301.247,1950142.624
2,RZUA04,0.0,1.0,0.0,0.0,0.0,0.0,3.4429537929066427e-28,0.0,1.0,6.6782326480277235e-09,0.0,0.9999999933217668,1.0,0.0,0.0,4954301.246,1949742.624
3,RZUA05,2.853956927537256e-53,1.0,0.0,0.0,0.0,2.1160840499688567e-27,1.0,0.0,0.0,1.6112236291758942e-73,0.0,1.0,1.0,0.0,0.0,4954301.244,1949342.624
4,RZUA06,2.0472822381587802e-237,1.0,0.0,0.0,0.0,6.971127747598613e-52,1.0,0.0,3.37840054036499e-297,7.284527278785756e-133,0.0,1.0,1.0,0.0,0.0,4954301.242999999,1948942.624
5,RZUA07,0.0,1.0,0.0,0.0,0.0,0.0,4.356522308490997e-91,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4954301.251,1948542.623
6,RZUA08,0.0,1.0,0.0,0.0,0.0,0.0,1.6684916105120987e-09,0.0,0.9999999983315088,7.768061743175842e-11,0.0,0.99999999992232,1.0,0.0,0.0,4954301.251,1948142.623
7,RZUA09,4.469190697485634e-308,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.606093682240001e-28,5.4826840049926425e-08,0.0,0.9999999451731598,1.0,0.0,0.0,4954301.251,1947742.623
8,RZUA10,2.914249853029233e-12,0.0,0.9999999999970868,0.0,0.0,1.0,1.1133714590565123e-28,5.145472262455144e-67,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4954301.251,1947342.623
9,RZUB01,1.0,0.0,0.0,0.0,0.0,1.0,9.539418084475045e-51,1.470462403356429e-31,0.0,0.0,2.048527788681009e-275,1.0,1.0,0.0,0.0,4954701.251,1950942.623
