,field_numb,XCOORD.y_x,YCOORD.y_x,FM100_b100mean_100,FM100_b100median_100,DN100_b100mean_100,DN100_b100median_100,DI300_b300mean_300,DI300_b300median_300,COB300_b300mean_300,COB300_b300median_300,DN250_b250mean_250,DN250_b250median_250,DN200_b200mean_200,DN200_b200median_200,DN300_b300mean_300,DN300_b300median_300,DI250_b250mean_250,DI250_b250median_250,DI100_b100mean_100,DI100_b100median_100,DI200_b200mean_200,DI200_b200median_200,COB200_b200mean_200,COB200_b200median_200,Brillo300_b300mean_300,Brillo300_b300median_300,COB250_b250mean_250,COB250_b250median_250,brillo200_b200mean_200,brillo200_b200median_200,AD300_b300mean_300,AD300_b300median_300,AD200_b200mean_200,AD200_b200median_200,AD100_b100mean_100,AD100_b100median_100,COB100_b100mean_100,COB100_b100median_100,brillo250_b250mean_250,brillo250_b250median_250,brillo100_b100mean_100,brillo100_b100median_100,AD250_b250mean_250,AD250_b250median_250,SLAVI250_b250mean_250,SLAVI250_b250median_250,SL300_b300mean_300,SL300_b300median_300,SL250_b250mean_250,SL250_b250median_250,SLAVI300_b300mean_300,SLAVI300_b300median_300,SLAVI200_b200mean_200,SLAVI200_b200median_200,SLAVI100_b100mean_100,SLAVI100_b100median_100,SL200_b200mean_200,SL200_b200median_200,SL100_b100mean_100,SL100_b100median_100,NDMI200_b200mean_200,NDMI200_b200median_200,NDMI100_b100mean_100,NDMI100_b100median_100,FM300_b300mean_300,FM300_b300median_300,FM250_b250mean_250,FM250_b250median_250,llanos300_b300mean_300,llanos300_b300median_300,NDMI300_b300mean_300,NDMI300_b300median_300,NDMI250_b250mean_250,NDMI250_b250median_250,llanos250_b250mean_250,llanos250_b250median_250,ICHN300_b300mean_300,ICHN300_b300median_300,llanos100_b100mean_100,llanos100_b100median_100,llanos200_b200mean_200,llanos200_b200median_200,ICHN250_b250mean_250,ICHN250_b250median_250,FM200_b200mean_200,FM200_b200median_200,ICHN200_b200mean_200,ICHN200_b200median_200,ICHN100_b100mean_100,ICHN100_b100median_100
0,RZUH04,4957101.251,1949742.623,0.566359449634629,0.428571432828903,0.994023292877112,1.0,0.0215620317847768,0.0171692166477442,0.509957325746799,0.5,0.960236657885334,1.0,0.972846226435733,1.0,0.957896876407212,1.0,0.0226601487806881,0.019024919718504,0.030299372256253,0.0309884650632739,0.025696397005463,0.0235769618302584,0.616334661354582,1.0,0.425294040587721,0.4423917979002,0.544245524296675,0.5,0.418482985834475,0.416560232639313,0.149666667067342,0.0,0.187080746065386,0.159999996423721,0.216585367191129,0.200000002980232,0.792993630573248,1.0,0.422809316774749,0.437314763665199,0.401402393718819,0.374817579984665,0.17121951236594,0.0,0.311302013649059,0.181917637586594,0.892777685627274,0.901337146759033,0.895600859810053,0.901337146759033,0.287799789737021,0.160439431667328,0.337878967911726,0.255114823579788,0.401977400639816,0.502704739570618,0.902117177487021,0.911041080951691,0.89538277263072,0.901337146759033,0.472873392052227,0.444346979260445,0.532573878573451,0.638585805892944,0.302223124114472,0.0,0.346782989887184,0.142857149243355,0.590887798333057,0.514097154140472,0.425204341048873,0.328433811664581,0.447881023784376,0.360159531235695,0.61078320115404,0.536649614572525,3.54180506379615,2.80992829799652,0.685608629015536,0.812339514493942,0.633901753626848,0.674904346466064,3.6957050883185,2.96490025520325,0.406593408816679,0.28571429848671,3.8978625558514,3.82651042938232,4.40358177820842,4.86076784133911
1,RZUH13,4957101.251,1946142.623,0.374368400723221,0.28571429848671,0.989796345448571,1.0,0.0481317824148822,0.0380853321403265,0.71085409252669,0.5,0.996483013849429,1.0,0.99513223855144,1.0,0.997410779979305,1.0,0.0406108808737067,0.0331704765558243,0.0229217647724572,0.0208736974745989,0.0347541652267346,0.0293876156210899,0.672509960159363,0.5,0.403301370022379,0.406765311956406,0.691304347826087,0.5,0.411460050456585,0.410926640033722,0.154333332946731,0.0,0.105249999463558,0.0,0.0663414628403943,0.0,0.633440514469453,0.5,0.407367296087644,0.40941971540451,0.42282336558669,0.420027300715446,0.137580644729878,0.0,0.406006396869101,0.34394995868206,0.886326691829036,0.898311913013458,0.8811656797718,0.889729142189026,0.418729214626615,0.369518592953682,0.390250448923372,0.320260584354401,0.35813375464834,0.309482157230377,0.881659837558847,0.889729142189026,0.889819632715254,0.898311913013458,0.547840914588524,0.512301057577133,0.528704597022587,0.503179907798767,0.392198583621083,0.28571429848671,0.355976678887192,0.28571429848671,0.725030474037554,0.708944737911224,0.570730362509421,0.542653918266296,0.559019681354313,0.524647325277328,0.71697629621645,0.690958917140961,4.17881251370426,3.75195276737213,0.685064758863542,0.662747472524643,0.708133136421418,0.677419364452362,4.06408567980555,3.61070346832275,0.351490238992621,0.142857149243355,3.96377117182111,3.45891499519348,3.84468292596921,3.44689798355103
2,RZUH07,4957101.251,1948542.623,0.860327571772846,1.0,1.0,1.0,0.122280361693666,0.117288120090961,0.740490579452542,0.5,0.999982905968642,1.0,0.999973226215945,1.0,0.999940751224407,1.0,0.122479515821697,0.118919417262077,0.117624067394964,0.119325816631317,0.121841423930114,0.118466317653656,0.834538152610442,1.0,0.4036586697359,0.40385414659977,0.784358974358974,1.0,0.391868902228447,0.38030381500721,0.159224377011163,0.0,0.251358026063737,0.239999994635582,0.424000000953674,0.459999993443489,0.980645161290323,1.0,0.397846210543356,0.394558936357498,0.362135766408382,0.356066346168518,0.195806452343541,0.119999997317791,0.310507377569055,0.215364649891853,0.849248449380756,0.860630929470062,0.85819513243432,0.874317169189453,0.264900724072572,0.142760038375854,0.372003997139034,0.36764532327652,0.618776059334541,0.664095759391785,0.874006197623058,0.876745223999023,0.874386334893715,0.874317169189453,0.530619844051028,0.630613684654236,0.734998228294509,0.753178358078003,0.36564144353902,0.28571429848671,0.441352617536464,0.428571432828903,0.536940842770415,0.467175841331482,0.424436644853341,0.333457171916962,0.469707242472454,0.45195284485817,0.581872930057308,0.633587867021561,3.92199292324584,3.35527217388153,0.823169372008218,0.852367252111435,0.634594786731363,0.804584324359894,4.17870615224923,4.11249923706055,0.537534124876378,0.428571432828903,4.52869369184956,4.71708726882935,5.59963720473484,5.89277601242065
3,RZUH03,4957101.251,1950142.623,0.0,0.0,0.962052865951292,0.966666638851166,0.0257897838813704,0.0219346173107624,0.507645803698435,0.5,0.974978210283267,1.0,0.973448441593523,1.0,0.979328809727307,1.0,0.021676035246586,0.0189519263803959,0.0119664467108857,0.0075673719402402,0.0181630702212408,0.0167750846594572,0.387951807228916,0.5,0.418935766318356,0.416707545518875,0.436955407483342,0.5,0.42875832034278,0.426612347364426,0.0845429366893055,0.0,0.0096894409623205,0.0,0.0,0.0,0.241935483870968,0.0,0.423797120831229,0.422899901866913,0.449138793998804,0.453164517879486,0.0433333331334686,0.0,0.234661245609031,0.186916969716549,0.890810009171532,0.901337146759033,0.893584225968654,0.901337146759033,0.273174768370533,0.206231608986855,0.19550134077548,0.171639002859592,0.174747651753326,0.170982211828232,0.896037539648078,0.911041080951691,0.911902761874507,0.921964645385742,0.356522511186138,0.347580522298813,0.350997482211544,0.348243832588196,0.217477204957118,0.0,0.14569970955502,0.0,0.594347037230146,0.574285000562668,0.422250754984317,0.377773195505142,0.390229723840122,0.364197626709938,0.567061484955803,0.545739531517029,3.38710030481872,2.92670226097107,0.529696906445088,0.512908101081848,0.539272821975892,0.524572670459747,3.13333541241245,2.8440660238266,0.0749115002312534,0.0,2.91584690582256,2.82079601287842,2.65558203298654,2.64338326454163
4,RZUH05,4957101.251,1949342.623,0.0,0.0,0.904278344789128,0.905719101428986,0.0163344544282597,0.0110349985770881,0.355131860299359,0.5,0.94055197613894,0.966666638851166,0.923438688707352,0.933333337306976,0.94998818869601,1.0,0.0109405106333397,0.0080396616831421,0.0041379183713401,0.0017507571028545,0.0065117376897251,0.0049814959056675,0.178,0.0,0.438462253978042,0.452056616544724,0.284323770491803,0.0,0.460676859772088,0.464214026927948,0.0660387811114253,0.0,0.0096894409160436,0.0,0.0,0.0,0.148089171974522,0.0,0.449132896415376,0.458793684840202,0.467862201806826,0.471643283963203,0.0409486163922921,0.0,0.160078522257607,0.130997061729431,0.866936678542952,0.874317169189453,0.860216732238055,0.867277264595032,0.180964723078256,0.131674081087112,0.138450233207222,0.13309620320797,0.140577865416004,0.135587058961391,0.856648261005636,0.867277264595032,0.806801750588773,0.807945966720581,0.292526499793762,0.28736412525177,0.288169692504791,0.2965277582407,0.108814590466572,0.0,0.0472544309069394,0.0,0.499526089637604,0.47037610411644,0.330969779423473,0.287159562110901,0.31349194134116,0.284436583518982,0.486789362768969,0.468484401702881,2.88754974158623,2.62188053131104,0.473883969733467,0.478343352675438,0.473105588690145,0.470548406243324,2.66596581297159,2.54651832580566,0.0068516618342136,0.0,2.4206569748212,2.27875161170959,2.28347094972335,2.17985701560974
5,RZUH10,4957101.251,1947342.623,0.0513176159469055,0.0,0.939993023495131,0.966666638851166,0.0261188751666494,0.0115681733004749,0.518861209964413,0.5,0.934099110945677,1.0,0.934104553161141,0.983333319425583,0.942133191068826,1.0,0.0186855916518536,0.010324246250093,0.0062923993168566,0.0064037474803626,0.012509660252281,0.0084057888016104,0.396634615384615,0.25,0.430877491831779,0.445004180073738,0.473333333333333,0.5,0.452145771319931,0.466511875391006,0.136509695562464,0.0,0.0551552793346577,0.0,0.0087804877903403,0.0,0.257911392405063,0.0,0.439995324316865,0.45637258887291,0.465943899483253,0.476749137043953,0.0980952379426786,0.0,0.290986897454651,0.204269513487816,0.899365107541394,0.911041080951691,0.904510494501261,0.921964645385742,0.326007812926328,0.221093639731407,0.246734185913397,0.185329809784889,0.188658077149622,0.174555212259293,0.906548635050224,0.921964645385742,0.896571301109162,0.901337146759033,0.426962671969687,0.396353289484978,0.371838692359386,0.377522200345993,0.372308160495395,0.142857149243355,0.302379741171642,0.0,0.640708717387183,0.577410876750946,0.493462337005074,0.437554329633713,0.466217782448454,0.423934936523438,0.619416765818608,0.56489086151123,3.69469869056625,2.84926104545593,0.531215191938174,0.519530564546585,0.583927513394625,0.539714902639389,3.47712814673733,2.78396332263947,0.2042766170944,0.0,3.17685096595936,2.69061207771301,2.67682426604465,2.47946047782898
6,RZUH02,4957101.251,1950542.623,0.446428573857515,0.428571432828903,0.999247311199865,1.0,0.0592511072613268,0.0528657324612141,0.784801136363636,1.0,0.995596750293896,1.0,0.996893095043607,1.0,0.993127211314541,1.0,0.0607099584076521,0.0476881004869938,0.0400749530523054,0.0320652183145285,0.0582995022126945,0.0451528709381819,0.76963141025641,1.0,0.386207439136557,0.38117441534996,0.779117496151873,1.0,0.393088869979934,0.386436954140663,0.220277008216137,0.119999997317791,0.146583850431887,0.0,0.0809999991208315,0.119999997317791,0.77258064516129,1.0,0.388934398015876,0.384428784251213,0.394197655316347,0.394332781434059,0.18016260111235,0.119999997317791,0.45233321126128,0.453888744115829,0.881803643449397,0.898302972316742,0.887955944351762,0.901337146759033,0.467216629808584,0.489112347364426,0.440719444823188,0.449982881546021,0.424269418175609,0.400903791189194,0.894298205170969,0.901337146759033,0.919476555287838,0.92596834897995,0.58735698155837,0.617041528224945,0.589720558339415,0.611753940582275,0.566053047146745,0.428571432828903,0.526096797455435,0.428571432828903,0.751982114748794,0.801231682300568,0.603589114798777,0.647030115127563,0.592840873188886,0.627854466438293,0.745517360118776,0.78293514251709,4.57398820605361,4.8068470954895,0.732165515422821,0.749428391456604,0.740811933036954,0.77776300907135,4.47622019412727,4.53349304199219,0.494171430635452,0.428571432828903,4.3996731527526,4.48878526687622,4.30524213790894,4.47414422035217
7,RZUH08,4957101.251,1948142.623,0.0730466964657638,0.0,0.999677419085656,1.0,0.087356948696569,0.0680847577750683,0.536399147727273,0.5,0.999001465821878,1.0,0.998652385919689,1.0,0.99922568353147,1.0,0.0802216200950818,0.0636169761419296,0.0571604117330524,0.0526087414473295,0.0720076086567214,0.0586623437702656,0.521251002405774,0.5,0.444199823603338,0.445390909910202,0.525641025641026,0.5,0.445607308343669,0.445986181497574,0.010747922300632,0.0,0.0108641974260042,0.0,0.0321951215950454,0.0,0.561290322580645,0.5,0.445140608140453,0.445563733577728,0.440291328680131,0.44604679942131,0.0088537548311614,0.0,0.0754580760859649,0.051057793200016,0.848279254168539,0.86060494184494,0.846002130741471,0.852202236652374,0.0779973075175725,0.0528506152331829,0.074659904722647,0.050999540835619,0.0852472832269193,0.0492039173841476,0.845004602275798,0.850168943405151,0.839918066909657,0.844257473945618,0.237455619730218,0.192572206258774,0.25549969531886,0.190207913517952,0.0536536048735138,0.0,0.0435193960103707,0.0,0.336830502124396,0.279216915369034,0.241390144508734,0.197080262005329,0.24001844433287,0.195106536149979,0.331364973209009,0.272814154624939,2.85962725013094,2.71231341362,0.35011529136437,0.264974623918533,0.32627441770185,0.270698845386505,2.81715683119966,2.71058964729309,0.0436413242832099,0.0,2.80461619609273,2.70045518875122,2.90180689422645,2.67917370796204
8,RZUH06,4957101.251,1948942.623,0.0,0.0,0.986313942131723,1.0,0.0451389976239688,0.0400546696037054,0.474928876244666,0.5,0.993593362743592,1.0,0.99355499283726,1.0,0.992492784095523,1.0,0.0446906706425445,0.0380969829857349,0.0284573780313419,0.0216855742037296,0.0421176930286539,0.0331405103206635,0.472111553784861,0.5,0.432850851976185,0.431029170751572,0.474424552429668,0.5,0.433389577308196,0.430925980210304,0.0062222221452328,0.0,0.0009999999776482,0.0,0.0,0.0,0.380573248407643,0.5,0.432060371110548,0.428861811757088,0.442471497525007,0.439921960234642,0.003387096698486,0.0,0.0699426707153853,0.0549367666244507,0.848067610536609,0.850168943405151,0.849180600668093,0.850168943405151,0.0727666618523173,0.0552527606487274,0.066128414893702,0.0520579367876053,0.0574602962360027,0.0509297400712967,0.847081174814566,0.844257473945618,0.83476556711529,0.842338621616364,0.214531230753048,0.188385859131813,0.205564210981034,0.18945948779583,0.0410771346976666,0.0,0.0345280684938099,0.0,0.358327629204959,0.314121037721634,0.219553542931696,0.188250601291656,0.217591923739542,0.189131252467632,0.357084227357195,0.314203381538391,2.70443604304024,2.63075685501099,0.336703250142184,0.302173912525177,0.351406258933934,0.306506454944611,2.68542703350801,2.62914323806763,0.0309466719865608,0.0,2.65860532098911,2.62360882759094,2.48105649627856,2.58126878738403
9,RZUH12,4957101.251,1946542.623,0.0792124569416046,0.0,1.0,1.0,0.0517052342791373,0.048187967389822,0.500177809388336,0.5,0.993431045017282,1.0,0.997263672842473,1.0,0.991240842752741,1.0,0.0559930953742401,0.056480897590518,0.0807761256132395,0.0799737088382244,0.062560070723436,0.0645075626671314,0.509244372990354,0.5,0.409677848113359,0.406833976507187,0.478995901639344,0.5,0.400348874294106,0.395363599061966,0.0064265927366933,0.0,0.005962732832254,0.0,0.0029268292028729,0.0,0.574193548387097,0.5,0.408580045809839,0.406069159507751,0.381697503909184,0.382082268595695,0.004462151324369,0.0,0.257811382081945,0.256020575761795,0.913303397909283,0.921973347663879,0.914976627617619,0.921973347663879,0.265632829876079,0.260057121515274,0.26443106498903,0.258946269750595,0.275906876302682,0.274695873260498,0.915871084709862,0.921973347663879,0.893917059720452,0.898311913013458,0.443897800160763,0.439545214176178,0.46072100293942,0.451291471719742,0.0693240040661301,0.0,0.0391999431255221,0.0,0.624790889958869,0.622468948364258,0.445202646234542,0.437879487872124,0.438715083940216,0.43570502102375,0.621236840035481,0.621638894081116,3.23824680593665,3.18465876579285,0.643126249023072,0.638953030109406,0.629957789404493,0.62825134396553,3.19251316397399,3.18027710914612,0.0384000014901161,0.0,3.23412182522779,3.20104897022247,3.36296460877604,3.23156762123108
